"freqMin","freqMax","start","end","quality","comment","file"
24.4,115.7,"2023-05-15T00:01:35Z","2023-05-15T02:28:16Z","2","Fish chorus","//nefscdata/PassiveAcoustics/DETECTOR_OUTPUT/PYTHON_SOUNDSCAPE_PYPAM/Raw/NEFSC_DE/NEFSC_DE_202301_DB01/NC/NEFSC_DE_202301_DB01_20230515.nc"
23.1,95.7,"2023-05-15T06:52:34Z","2023-05-15T08:41:30Z","2","Fish chorus","//nefscdata/PassiveAcoustics/DETECTOR_OUTPUT/PYTHON_SOUNDSCAPE_PYPAM/Raw/NEFSC_DE/NEFSC_DE_202301_DB01/NC/NEFSC_DE_202301_DB01_20230515.nc"
24.9,103.3,"2023-05-15T09:41:02Z","2023-05-15T16:30:35Z","2","Fish chorus","//nefscdata/PassiveAcoustics/DETECTOR_OUTPUT/PYTHON_SOUNDSCAPE_PYPAM/Raw/NEFSC_DE/NEFSC_DE_202301_DB01/NC/NEFSC_DE_202301_DB01_20230515.nc"
261.8,3806,"2023-05-15T00:19:01Z","2023-05-15T07:28:53Z","2","Fish chorus","//nefscdata/PassiveAcoustics/DETECTOR_OUTPUT/PYTHON_SOUNDSCAPE_PYPAM/Raw/NEFSC_DE/NEFSC_DE_202301_DB01/NC/NEFSC_DE_202301_DB01_20230515.nc"
26.3,111.4,"2023-05-16T00:05:56Z","2023-05-16T05:25:26Z","2","Fish chorus","//nefscdata/PassiveAcoustics/DETECTOR_OUTPUT/PYTHON_SOUNDSCAPE_PYPAM/Raw/NEFSC_DE/NEFSC_DE_202301_DB01/NC/NEFSC_DE_202301_DB01_20230516.nc"
30.6,88.7,"2023-05-16T08:53:07Z","2023-05-17T00:00:00Z","2","Fish chorus","//nefscdata/PassiveAcoustics/DETECTOR_OUTPUT/PYTHON_SOUNDSCAPE_PYPAM/Raw/NEFSC_DE/NEFSC_DE_202301_DB01/NC/NEFSC_DE_202301_DB01_20230516.nc"
322.6,4871.3,"2023-05-16T00:33:32Z","2023-05-16T06:54:02Z","2","Fish chorus","//nefscdata/PassiveAcoustics/DETECTOR_OUTPUT/PYTHON_SOUNDSCAPE_PYPAM/Raw/NEFSC_DE/NEFSC_DE_202301_DB01/NC/NEFSC_DE_202301_DB01_20230516.nc"
299,4601.6,"2023-05-17T00:27:43Z","2023-05-17T08:44:24Z","2","Fish chorus","//nefscdata/PassiveAcoustics/DETECTOR_OUTPUT/PYTHON_SOUNDSCAPE_PYPAM/Raw/NEFSC_DE/NEFSC_DE_202301_DB01/NC/NEFSC_DE_202301_DB01_20230517.nc"
24.4,88.7,"2023-05-17T00:00:00Z","2023-05-17T02:21:00Z","2","Fish chorus","//nefscdata/PassiveAcoustics/DETECTOR_OUTPUT/PYTHON_SOUNDSCAPE_PYPAM/Raw/NEFSC_DE/NEFSC_DE_202301_DB01/NC/NEFSC_DE_202301_DB01_20230517.nc"
24.9,105.3,"2023-05-17T03:36:31Z","2023-05-17T05:09:28Z","2","Fish chorus","//nefscdata/PassiveAcoustics/DETECTOR_OUTPUT/PYTHON_SOUNDSCAPE_PYPAM/Raw/NEFSC_DE/NEFSC_DE_202301_DB01/NC/NEFSC_DE_202301_DB01_20230517.nc"
25.8,82.2,"2023-05-17T08:56:01Z","2023-05-17T13:17:25Z","2","Fish chorus","//nefscdata/PassiveAcoustics/DETECTOR_OUTPUT/PYTHON_SOUNDSCAPE_PYPAM/Raw/NEFSC_DE/NEFSC_DE_202301_DB01/NC/NEFSC_DE_202301_DB01_20230517.nc"
