"freqMin","freqMax","start","end","quality","comment","file"
92.2,3664.2,"2023-06-17T00:00:00Z","2023-06-17T08:56:35Z","2","Fish chorus","//nefscdata/PassiveAcoustics/DETECTOR_OUTPUT/PYTHON_SOUNDSCAPE_PYPAM/Raw/NEFSC_DE/NEFSC_DE_202306_DB01/NC/NEFSC_DE_202306_DB01_20230617.nc"
129.7,772.6,"2023-06-17T21:09:13Z","2023-06-17T23:57:28Z","2","Fish chorus","//nefscdata/PassiveAcoustics/DETECTOR_OUTPUT/PYTHON_SOUNDSCAPE_PYPAM/Raw/NEFSC_DE/NEFSC_DE_202306_DB01/NC/NEFSC_DE_202306_DB01_20230617.nc"
19,79.2,"2023-06-17T02:03:12Z","2023-06-17T12:01:21Z","2","Fish chorus","//nefscdata/PassiveAcoustics/DETECTOR_OUTPUT/PYTHON_SOUNDSCAPE_PYPAM/Raw/NEFSC_DE/NEFSC_DE_202306_DB01/NC/NEFSC_DE_202306_DB01_20230617.nc"
19,65.5,"2023-06-17T13:23:25Z","2023-06-17T17:39:55Z","2","Fish chorus","//nefscdata/PassiveAcoustics/DETECTOR_OUTPUT/PYTHON_SOUNDSCAPE_PYPAM/Raw/NEFSC_DE/NEFSC_DE_202306_DB01/NC/NEFSC_DE_202306_DB01_20230617.nc"
73.4,4964.6,"2023-06-19T00:00:00Z","2023-06-19T08:52:34Z","2","Fish chorus","//nefscdata/PassiveAcoustics/DETECTOR_OUTPUT/PYTHON_SOUNDSCAPE_PYPAM/Raw/NEFSC_DE/NEFSC_DE_202306_DB01/NC/NEFSC_DE_202306_DB01_20230619.nc"
93.9,772.6,"2023-06-19T20:40:29Z","2023-06-19T23:58:30Z","2","Fish chorus","//nefscdata/PassiveAcoustics/DETECTOR_OUTPUT/PYTHON_SOUNDSCAPE_PYPAM/Raw/NEFSC_DE/NEFSC_DE_202306_DB01/NC/NEFSC_DE_202306_DB01_20230619.nc"
19,70.7,"2023-06-19T02:52:27Z","2023-06-19T06:39:12Z","2","Fish chorus","//nefscdata/PassiveAcoustics/DETECTOR_OUTPUT/PYTHON_SOUNDSCAPE_PYPAM/Raw/NEFSC_DE/NEFSC_DE_202306_DB01/NC/NEFSC_DE_202306_DB01_20230619.nc"
19,99.4,"2023-06-19T08:37:11Z","2023-06-19T13:31:38Z","2","Fish chorus","//nefscdata/PassiveAcoustics/DETECTOR_OUTPUT/PYTHON_SOUNDSCAPE_PYPAM/Raw/NEFSC_DE/NEFSC_DE_202306_DB01/NC/NEFSC_DE_202306_DB01_20230619.nc"
19,76.2,"2023-06-19T15:26:32Z","2023-06-19T19:05:04Z","2","Fish chorus","//nefscdata/PassiveAcoustics/DETECTOR_OUTPUT/PYTHON_SOUNDSCAPE_PYPAM/Raw/NEFSC_DE/NEFSC_DE_202306_DB01/NC/NEFSC_DE_202306_DB01_20230619.nc"
19,63.1,"2023-06-19T20:45:37Z","2023-06-20T00:00:00Z","2","Fish chorus","//nefscdata/PassiveAcoustics/DETECTOR_OUTPUT/PYTHON_SOUNDSCAPE_PYPAM/Raw/NEFSC_DE/NEFSC_DE_202306_DB01/NC/NEFSC_DE_202306_DB01_20230619.nc"
