"","Datetime_UTC","Internal_temp_C","Date"
"1","22-03-2023_01:35:18",7.6,"2023-03-22"
"2","22-03-2023_05:35:19",7.6,"2023-03-22"
"3","22-03-2023_09:35:19",7.68,"2023-03-22"
"4","22-03-2023_13:35:19",7.77,"2023-03-22"
"5","22-03-2023_17:35:19",7.68,"2023-03-22"
"6","22-03-2023_21:35:19",7.77,"2023-03-22"
"7","23-03-2023_01:35:19",7.85,"2023-03-23"
"8","23-03-2023_05:35:19",7.77,"2023-03-23"
"9","23-03-2023_09:35:19",7.77,"2023-03-23"
"10","23-03-2023_13:35:19",7.85,"2023-03-23"
"11","23-03-2023_17:35:19",7.85,"2023-03-23"
"12","23-03-2023_21:35:19",7.85,"2023-03-23"
"13","24-03-2023_01:35:19",7.94,"2023-03-24"
"14","24-03-2023_05:35:19",7.94,"2023-03-24"
"15","24-03-2023_09:35:19",7.94,"2023-03-24"
"16","24-03-2023_13:35:19",7.77,"2023-03-24"
"17","24-03-2023_17:35:19",7.85,"2023-03-24"
"18","24-03-2023_21:35:19",7.77,"2023-03-24"
"19","25-03-2023_01:35:19",7.77,"2023-03-25"
"20","25-03-2023_05:35:19",7.85,"2023-03-25"
"21","25-03-2023_09:35:19",8.03,"2023-03-25"
"22","25-03-2023_13:35:19",8.03,"2023-03-25"
"23","25-03-2023_17:35:19",8.03,"2023-03-25"
"24","25-03-2023_21:35:19",8.03,"2023-03-25"
"25","26-03-2023_01:35:19",8.03,"2023-03-26"
"26","26-03-2023_05:35:19",8.11,"2023-03-26"
"27","26-03-2023_09:35:19",8.03,"2023-03-26"
"28","26-03-2023_13:35:19",8.03,"2023-03-26"
"29","26-03-2023_17:35:19",7.94,"2023-03-26"
"30","26-03-2023_21:35:19",7.94,"2023-03-26"
"31","27-03-2023_01:35:19",7.85,"2023-03-27"
"32","27-03-2023_05:35:19",7.85,"2023-03-27"
"33","27-03-2023_09:35:19",7.94,"2023-03-27"
"34","27-03-2023_13:35:19",7.94,"2023-03-27"
"35","27-03-2023_17:35:19",7.94,"2023-03-27"
