"","Datetime_UTC","Internal_temp_C","Date"
"1","09-06-2023_03:13:17",13.48,"2023-06-09"
"2","09-06-2023_07:13:17",13.48,"2023-06-09"
"3","09-06-2023_11:13:17",14.15,"2023-06-09"
"4","09-06-2023_15:13:17",14.64,"2023-06-09"
"5","09-06-2023_19:13:17",14.48,"2023-06-09"
"6","09-06-2023_23:13:17",14.39,"2023-06-09"
"7","10-06-2023_03:13:17",14.48,"2023-06-10"
"8","10-06-2023_07:13:17",14.48,"2023-06-10"
"9","10-06-2023_11:13:17",14.31,"2023-06-10"
"10","10-06-2023_15:13:17",14.15,"2023-06-10"
"11","10-06-2023_19:13:17",14.23,"2023-06-10"
"12","10-06-2023_23:13:17",14.15,"2023-06-10"
"13","11-06-2023_03:13:17",13.98,"2023-06-11"
"14","11-06-2023_07:13:17",14.15,"2023-06-11"
"15","11-06-2023_11:13:17",14.15,"2023-06-11"
"16","11-06-2023_15:13:17",14.15,"2023-06-11"
"17","11-06-2023_19:13:17",14.23,"2023-06-11"
"18","11-06-2023_23:13:17",14.15,"2023-06-11"
"19","12-06-2023_03:13:17",14.06,"2023-06-12"
"20","12-06-2023_07:13:17",14.15,"2023-06-12"
"21","12-06-2023_11:13:17",14.31,"2023-06-12"
"22","12-06-2023_15:13:17",14.23,"2023-06-12"
"23","12-06-2023_19:13:17",14.56,"2023-06-12"
"24","12-06-2023_23:13:17",14.48,"2023-06-12"
"25","13-06-2023_03:13:17",14.48,"2023-06-13"
"26","13-06-2023_07:13:17",14.81,"2023-06-13"
"27","13-06-2023_11:13:17",14.81,"2023-06-13"
"28","13-06-2023_15:13:17",14.56,"2023-06-13"
"29","13-06-2023_19:13:17",14.56,"2023-06-13"
"30","13-06-2023_23:13:17",14.56,"2023-06-13"
"31","14-06-2023_03:13:17",14.39,"2023-06-14"
"32","14-06-2023_07:13:17",14.48,"2023-06-14"
"33","14-06-2023_11:13:17",14.64,"2023-06-14"
"34","14-06-2023_15:13:17",14.56,"2023-06-14"
"35","14-06-2023_19:13:17",14.72,"2023-06-14"
"36","14-06-2023_23:13:17",14.64,"2023-06-14"
"37","15-06-2023_03:13:17",14.56,"2023-06-15"
"38","15-06-2023_07:13:17",14.64,"2023-06-15"
"39","15-06-2023_11:13:17",14.56,"2023-06-15"
"40","15-06-2023_15:13:17",14.64,"2023-06-15"
"41","15-06-2023_19:13:17",14.72,"2023-06-15"
"42","15-06-2023_23:13:17",14.56,"2023-06-15"
"43","16-06-2023_03:13:17",14.64,"2023-06-16"
"44","16-06-2023_07:13:17",14.64,"2023-06-16"
"45","16-06-2023_11:13:17",14.48,"2023-06-16"
"46","16-06-2023_15:13:17",14.48,"2023-06-16"
"47","16-06-2023_19:13:17",14.56,"2023-06-16"
"48","16-06-2023_23:13:17",14.56,"2023-06-16"
"49","17-06-2023_03:13:17",14.56,"2023-06-17"
"50","17-06-2023_07:13:17",14.64,"2023-06-17"
"51","17-06-2023_11:13:17",14.64,"2023-06-17"
"52","17-06-2023_15:13:17",14.72,"2023-06-17"
"53","17-06-2023_19:13:17",14.48,"2023-06-17"
"54","17-06-2023_23:13:17",14.72,"2023-06-17"
"55","18-06-2023_03:13:17",14.64,"2023-06-18"
"56","18-06-2023_07:13:17",14.39,"2023-06-18"
"57","18-06-2023_11:13:17",14.48,"2023-06-18"
"58","18-06-2023_15:13:17",14.56,"2023-06-18"
"59","18-06-2023_19:13:17",14.56,"2023-06-18"
"60","18-06-2023_23:13:17",14.48,"2023-06-18"
"61","19-06-2023_03:13:17",14.48,"2023-06-19"
"62","19-06-2023_07:13:17",14.48,"2023-06-19"
"63","19-06-2023_11:13:17",14.56,"2023-06-19"
"64","19-06-2023_15:13:17",14.64,"2023-06-19"
"65","19-06-2023_19:13:17",14.56,"2023-06-19"
"66","19-06-2023_23:13:17",14.64,"2023-06-19"
"67","20-06-2023_03:13:18",14.56,"2023-06-20"
"68","20-06-2023_07:13:18",14.64,"2023-06-20"
"69","20-06-2023_11:13:18",14.56,"2023-06-20"
"70","20-06-2023_15:13:18",14.56,"2023-06-20"
"71","20-06-2023_19:13:18",14.56,"2023-06-20"
"72","20-06-2023_23:13:18",14.64,"2023-06-20"
"73","21-06-2023_03:13:18",14.64,"2023-06-21"
"74","21-06-2023_07:13:18",14.56,"2023-06-21"
"75","21-06-2023_11:13:18",14.56,"2023-06-21"
"76","21-06-2023_15:13:18",14.48,"2023-06-21"
"77","21-06-2023_19:13:18",14.48,"2023-06-21"
"78","21-06-2023_23:13:18",14.64,"2023-06-21"
"79","22-06-2023_03:13:18",14.56,"2023-06-22"
"80","22-06-2023_07:13:18",14.81,"2023-06-22"
"81","22-06-2023_11:13:18",14.81,"2023-06-22"
"82","22-06-2023_15:13:18",14.89,"2023-06-22"
"83","22-06-2023_19:13:18",14.81,"2023-06-22"
"84","22-06-2023_23:13:18",14.56,"2023-06-22"
"85","23-06-2023_03:13:18",14.39,"2023-06-23"
"86","23-06-2023_07:13:18",14.48,"2023-06-23"
"87","23-06-2023_11:13:18",14.39,"2023-06-23"
"88","23-06-2023_15:13:18",14.15,"2023-06-23"
"89","23-06-2023_19:13:18",14.31,"2023-06-23"
"90","23-06-2023_23:13:18",14.31,"2023-06-23"
"91","24-06-2023_03:13:18",13.98,"2023-06-24"
"92","24-06-2023_07:13:18",13.98,"2023-06-24"
"93","24-06-2023_11:13:18",13.98,"2023-06-24"
"94","24-06-2023_15:13:18",14.06,"2023-06-24"
"95","24-06-2023_19:13:18",14.15,"2023-06-24"
"96","24-06-2023_23:13:18",14.15,"2023-06-24"
