"","Datetime_UTC","Internal_temp_C","Date"
"1","29-12-2022_00:32:52",9.81,"2022-12-29"
"2","29-12-2022_04:32:52",9.81,"2022-12-29"
"3","29-12-2022_08:32:52",9.81,"2022-12-29"
"4","29-12-2022_12:32:52",9.73,"2022-12-29"
"5","29-12-2022_16:32:52",9.9,"2022-12-29"
"6","29-12-2022_20:32:52",9.81,"2022-12-29"
"7","30-12-2022_00:32:52",9.81,"2022-12-30"
"8","30-12-2022_04:32:53",10.4,"2022-12-30"
"9","30-12-2022_08:32:53",9.98,"2022-12-30"
"10","30-12-2022_12:32:53",10.82,"2022-12-30"
"11","30-12-2022_16:32:53",11.32,"2022-12-30"
"12","30-12-2022_20:32:53",10.32,"2022-12-30"
"13","31-12-2022_00:32:53",11.32,"2022-12-31"
"14","31-12-2022_04:32:53",11.49,"2022-12-31"
"15","31-12-2022_08:32:53",11.41,"2022-12-31"
"16","31-12-2022_12:32:53",10.82,"2022-12-31"
"17","31-12-2022_16:32:53",11.07,"2022-12-31"
"18","31-12-2022_20:32:53",11.24,"2022-12-31"
"19","01-01-2023_00:32:53",10.9,"2023-01-01"
"20","01-01-2023_04:32:53",11.24,"2023-01-01"
"21","01-01-2023_08:32:53",11.41,"2023-01-01"
"22","01-01-2023_12:32:53",11.32,"2023-01-01"
"23","01-01-2023_16:32:53",11.49,"2023-01-01"
"24","01-01-2023_20:32:53",11.41,"2023-01-01"
"25","02-01-2023_00:32:53",11.24,"2023-01-02"
"26","02-01-2023_04:32:53",11.41,"2023-01-02"
"27","02-01-2023_08:32:53",11.49,"2023-01-02"
"28","02-01-2023_12:32:53",11.49,"2023-01-02"
"29","02-01-2023_16:32:53",11.74,"2023-01-02"
"30","02-01-2023_20:32:53",11.74,"2023-01-02"
"31","03-01-2023_00:32:53",11.82,"2023-01-03"
"32","03-01-2023_04:32:53",11.99,"2023-01-03"
"33","03-01-2023_08:32:53",11.91,"2023-01-03"
"34","03-01-2023_12:32:53",11.82,"2023-01-03"
"35","03-01-2023_16:32:53",11.91,"2023-01-03"
"36","03-01-2023_20:32:53",11.99,"2023-01-03"
"37","04-01-2023_00:32:53",11.99,"2023-01-04"
"38","04-01-2023_04:32:53",11.99,"2023-01-04"
"39","04-01-2023_08:32:53",11.99,"2023-01-04"
"40","04-01-2023_12:32:53",11.82,"2023-01-04"
"41","04-01-2023_16:32:53",11.82,"2023-01-04"
"42","04-01-2023_20:32:53",11.66,"2023-01-04"
"43","05-01-2023_00:32:53",11.57,"2023-01-05"
"44","05-01-2023_04:32:53",11.66,"2023-01-05"
"45","05-01-2023_08:32:53",11.49,"2023-01-05"
"46","05-01-2023_12:32:53",11.41,"2023-01-05"
"47","05-01-2023_16:32:53",11.49,"2023-01-05"
"48","05-01-2023_20:32:53",11.49,"2023-01-05"
"49","06-01-2023_00:32:53",11.49,"2023-01-06"
"50","06-01-2023_04:32:53",11.66,"2023-01-06"
"51","06-01-2023_08:32:53",11.66,"2023-01-06"
"52","06-01-2023_12:32:53",11.74,"2023-01-06"
"53","06-01-2023_16:32:53",11.66,"2023-01-06"
"54","06-01-2023_20:32:53",11.66,"2023-01-06"
"55","07-01-2023_00:32:53",11.66,"2023-01-07"
"56","07-01-2023_04:32:53",11.49,"2023-01-07"
"57","07-01-2023_08:32:53",11.49,"2023-01-07"
"58","07-01-2023_12:32:53",11.41,"2023-01-07"
"59","07-01-2023_16:32:53",11.24,"2023-01-07"
"60","07-01-2023_20:32:53",11.07,"2023-01-07"
"61","08-01-2023_00:32:53",10.99,"2023-01-08"
"62","08-01-2023_04:32:53",10.82,"2023-01-08"
"63","08-01-2023_08:32:53",10.65,"2023-01-08"
"64","08-01-2023_12:32:53",10.65,"2023-01-08"
"65","08-01-2023_16:32:53",10.57,"2023-01-08"
"66","08-01-2023_20:32:53",10.32,"2023-01-08"
"67","09-01-2023_00:32:53",10.15,"2023-01-09"
"68","09-01-2023_04:32:53",10.06,"2023-01-09"
"69","09-01-2023_08:32:53",9.81,"2023-01-09"
"70","09-01-2023_12:32:53",9.81,"2023-01-09"
"71","09-01-2023_16:32:53",9.9,"2023-01-09"
"72","09-01-2023_20:32:53",9.81,"2023-01-09"
"73","10-01-2023_00:32:53",9.56,"2023-01-10"
"74","10-01-2023_04:32:53",9.47,"2023-01-10"
"75","10-01-2023_08:32:53",9.47,"2023-01-10"
"76","10-01-2023_12:32:53",9.47,"2023-01-10"
"77","10-01-2023_16:32:53",9.47,"2023-01-10"
"78","10-01-2023_20:32:53",9.47,"2023-01-10"
"79","11-01-2023_00:32:53",9.39,"2023-01-11"
"80","11-01-2023_04:32:53",9.39,"2023-01-11"
"81","11-01-2023_08:32:53",9.22,"2023-01-11"
"82","11-01-2023_12:32:54",9.13,"2023-01-11"
"83","11-01-2023_16:32:54",9.13,"2023-01-11"
"84","11-01-2023_20:32:54",9.13,"2023-01-11"
"85","12-01-2023_00:32:54",9.22,"2023-01-12"
"86","12-01-2023_04:32:54",9.22,"2023-01-12"
"87","12-01-2023_08:32:54",9.3,"2023-01-12"
"88","12-01-2023_12:32:54",9.13,"2023-01-12"
"89","12-01-2023_16:32:54",9.13,"2023-01-12"
"90","12-01-2023_20:32:54",9.13,"2023-01-12"
"91","13-01-2023_00:32:54",9.05,"2023-01-13"
"92","13-01-2023_04:32:54",9.05,"2023-01-13"
