"","Datetime_UTC","Internal_temp_C","Date"
"1","18-06-2023_03:12:13",8.2,"2023-06-18"
"2","18-06-2023_07:12:13",8.54,"2023-06-18"
"3","18-06-2023_11:12:13",8.37,"2023-06-18"
"4","18-06-2023_15:12:14",8.37,"2023-06-18"
"5","18-06-2023_19:12:14",8.45,"2023-06-18"
"6","18-06-2023_23:12:14",8.45,"2023-06-18"
"7","19-06-2023_03:12:14",8.45,"2023-06-19"
"8","19-06-2023_07:12:14",8.62,"2023-06-19"
"9","19-06-2023_11:12:14",8.62,"2023-06-19"
"10","19-06-2023_15:12:14",8.54,"2023-06-19"
"11","19-06-2023_19:12:14",8.79,"2023-06-19"
"12","19-06-2023_23:12:14",8.62,"2023-06-19"
"13","20-06-2023_03:12:14",8.62,"2023-06-20"
"14","20-06-2023_07:12:14",9.13,"2023-06-20"
"15","20-06-2023_11:12:14",9.3,"2023-06-20"
"16","20-06-2023_15:12:14",9.39,"2023-06-20"
"17","20-06-2023_19:12:14",9.22,"2023-06-20"
"18","20-06-2023_23:12:14",9.39,"2023-06-20"
"19","21-06-2023_03:12:14",9.39,"2023-06-21"
"20","21-06-2023_07:12:14",9.9,"2023-06-21"
"21","21-06-2023_11:12:14",10.4,"2023-06-21"
"22","21-06-2023_15:12:14",10.99,"2023-06-21"
"23","21-06-2023_19:12:14",10.9,"2023-06-21"
"24","21-06-2023_23:12:14",10.99,"2023-06-21"
"25","22-06-2023_03:12:14",11.32,"2023-06-22"
"26","22-06-2023_07:12:14",11.99,"2023-06-22"
"27","22-06-2023_11:12:14",12.16,"2023-06-22"
"28","22-06-2023_15:12:14",11.99,"2023-06-22"
"29","22-06-2023_19:12:14",12.32,"2023-06-22"
"30","22-06-2023_23:12:14",12.41,"2023-06-22"
"31","23-06-2023_03:12:14",11.99,"2023-06-23"
"32","23-06-2023_07:12:14",11.82,"2023-06-23"
"33","23-06-2023_11:12:14",11.91,"2023-06-23"
"34","23-06-2023_15:12:14",11.82,"2023-06-23"
"35","23-06-2023_19:12:14",11.74,"2023-06-23"
"36","23-06-2023_23:12:14",11.74,"2023-06-23"
"37","24-06-2023_03:12:14",11.66,"2023-06-24"
"38","24-06-2023_07:12:14",11.74,"2023-06-24"
"39","24-06-2023_11:12:14",11.91,"2023-06-24"
"40","24-06-2023_15:12:14",11.91,"2023-06-24"
"41","24-06-2023_19:12:14",11.82,"2023-06-24"
"42","24-06-2023_23:12:14",11.82,"2023-06-24"
"43","25-06-2023_03:12:14",11.82,"2023-06-25"
"44","25-06-2023_07:12:14",11.91,"2023-06-25"
"45","25-06-2023_11:12:14",11.91,"2023-06-25"
"46","25-06-2023_15:12:14",11.91,"2023-06-25"
"47","25-06-2023_19:12:14",12.24,"2023-06-25"
"48","25-06-2023_23:12:14",11.99,"2023-06-25"
"49","26-06-2023_03:12:14",12.07,"2023-06-26"
"50","26-06-2023_07:12:14",12.16,"2023-06-26"
"51","26-06-2023_11:12:14",12.07,"2023-06-26"
"52","26-06-2023_15:12:14",12.07,"2023-06-26"
"53","26-06-2023_19:12:14",12.24,"2023-06-26"
"54","26-06-2023_23:12:14",12.16,"2023-06-26"
"55","27-06-2023_03:12:14",12.24,"2023-06-27"
"56","27-06-2023_07:12:14",12.41,"2023-06-27"
"57","27-06-2023_11:12:14",12.24,"2023-06-27"
"58","27-06-2023_15:12:14",12.49,"2023-06-27"
"59","27-06-2023_19:12:14",12.32,"2023-06-27"
"60","27-06-2023_23:12:14",12.16,"2023-06-27"
"61","28-06-2023_03:12:14",11.57,"2023-06-28"
"62","28-06-2023_07:12:14",10.32,"2023-06-28"
"63","28-06-2023_11:12:14",10.49,"2023-06-28"
"64","28-06-2023_15:12:14",10.65,"2023-06-28"
"65","28-06-2023_19:12:14",10.23,"2023-06-28"
"66","28-06-2023_23:12:14",10.32,"2023-06-28"
"67","29-06-2023_03:12:14",11.91,"2023-06-29"
"68","29-06-2023_07:12:14",10.4,"2023-06-29"
"69","29-06-2023_11:12:14",10.9,"2023-06-29"
"70","29-06-2023_15:12:14",11.32,"2023-06-29"
"71","29-06-2023_19:12:14",12.41,"2023-06-29"
"72","29-06-2023_23:12:14",10.82,"2023-06-29"
"73","30-06-2023_03:12:15",11.16,"2023-06-30"
"74","30-06-2023_07:12:15",11.24,"2023-06-30"
"75","30-06-2023_11:12:15",10.57,"2023-06-30"
"76","30-06-2023_15:12:15",9.98,"2023-06-30"
"77","30-06-2023_19:12:15",9.98,"2023-06-30"
"78","30-06-2023_23:12:15",9.81,"2023-06-30"
"79","01-07-2023_03:12:15",9.81,"2023-07-01"
"80","01-07-2023_07:12:15",9.81,"2023-07-01"
"81","01-07-2023_11:12:15",9.9,"2023-07-01"
"82","01-07-2023_15:12:15",10.15,"2023-07-01"
"83","01-07-2023_19:12:15",10.15,"2023-07-01"
"84","01-07-2023_23:12:15",10.06,"2023-07-01"
"85","02-07-2023_03:12:15",10.15,"2023-07-02"
"86","02-07-2023_07:12:15",10.23,"2023-07-02"
"87","02-07-2023_11:12:15",10.32,"2023-07-02"
"88","02-07-2023_15:12:15",10.32,"2023-07-02"
"89","02-07-2023_19:12:15",10.32,"2023-07-02"
"90","02-07-2023_23:12:15",10.4,"2023-07-02"
"91","03-07-2023_03:12:15",10.4,"2023-07-03"
"92","03-07-2023_07:12:15",10.4,"2023-07-03"
"93","03-07-2023_11:12:15",10.4,"2023-07-03"
"94","03-07-2023_15:12:15",10.4,"2023-07-03"
"95","03-07-2023_19:12:15",10.4,"2023-07-03"
"96","03-07-2023_23:12:15",10.4,"2023-07-03"
"97","04-07-2023_03:12:15",10.4,"2023-07-04"
"98","04-07-2023_07:12:15",10.4,"2023-07-04"
"99","04-07-2023_11:12:15",10.49,"2023-07-04"
"100","04-07-2023_15:12:15",10.49,"2023-07-04"
"101","04-07-2023_19:12:15",10.49,"2023-07-04"
"102","04-07-2023_23:12:15",10.49,"2023-07-04"
"103","05-07-2023_03:12:15",10.23,"2023-07-05"
"104","05-07-2023_07:12:15",9.47,"2023-07-05"
"105","05-07-2023_11:12:15",9.39,"2023-07-05"
"106","05-07-2023_15:12:15",9.56,"2023-07-05"
"107","05-07-2023_19:12:15",9.13,"2023-07-05"
"108","05-07-2023_23:12:15",9.13,"2023-07-05"
"109","06-07-2023_03:12:15",9.05,"2023-07-06"
"110","06-07-2023_07:12:15",8.79,"2023-07-06"
"111","06-07-2023_11:12:15",8.79,"2023-07-06"
"112","06-07-2023_15:12:15",8.71,"2023-07-06"
"113","06-07-2023_19:12:15",8.88,"2023-07-06"
"114","06-07-2023_23:12:15",9.05,"2023-07-06"
"115","07-07-2023_03:12:15",8.79,"2023-07-07"
"116","07-07-2023_07:12:15",9.13,"2023-07-07"
"117","07-07-2023_11:12:15",9.47,"2023-07-07"
"118","07-07-2023_15:12:15",8.96,"2023-07-07"
"119","07-07-2023_19:12:15",9.22,"2023-07-07"
"120","07-07-2023_23:12:15",9.47,"2023-07-07"
"121","08-07-2023_03:12:15",9.05,"2023-07-08"
"122","08-07-2023_07:12:15",9.13,"2023-07-08"
"123","08-07-2023_11:12:15",9.47,"2023-07-08"
"124","08-07-2023_15:12:15",9.3,"2023-07-08"
"125","08-07-2023_19:12:15",9.39,"2023-07-08"
"126","08-07-2023_23:12:15",9.56,"2023-07-08"
"127","09-07-2023_03:12:15",9.39,"2023-07-09"
"128","09-07-2023_07:12:15",9.39,"2023-07-09"
"129","09-07-2023_11:12:15",9.9,"2023-07-09"
"130","09-07-2023_15:12:15",9.9,"2023-07-09"
"131","09-07-2023_19:12:15",9.9,"2023-07-09"
"132","09-07-2023_23:12:15",10.06,"2023-07-09"
"133","10-07-2023_03:12:15",10.06,"2023-07-10"
"134","10-07-2023_07:12:15",10.15,"2023-07-10"
"135","10-07-2023_11:12:15",10.4,"2023-07-10"
"136","10-07-2023_15:12:15",10.4,"2023-07-10"
