"","Datetime_UTC","Internal_temp_C","Date"
"1","09-04-2024_01:07:45",6.64,2024-04-09
"2","09-04-2024_05:07:45",6.56,2024-04-09
"3","09-04-2024_09:07:45",6.56,2024-04-09
"4","09-04-2024_13:07:45",6.56,2024-04-09
"5","09-04-2024_17:07:45",6.56,2024-04-09
"6","09-04-2024_21:07:45",6.56,2024-04-09
"7","10-04-2024_01:07:45",6.47,2024-04-10
"8","10-04-2024_05:07:45",6.56,2024-04-10
"9","10-04-2024_09:07:45",6.56,2024-04-10
"10","10-04-2024_13:07:45",6.56,2024-04-10
"11","10-04-2024_17:07:45",6.56,2024-04-10
"12","10-04-2024_21:07:45",6.56,2024-04-10
"13","11-04-2024_01:07:45",6.47,2024-04-11
"14","11-04-2024_05:07:45",6.56,2024-04-11
"15","11-04-2024_09:07:45",6.47,2024-04-11
"16","11-04-2024_13:07:45",6.47,2024-04-11
"17","11-04-2024_17:07:45",6.47,2024-04-11
"18","11-04-2024_21:07:45",6.47,2024-04-11
"19","12-04-2024_01:07:45",6.47,2024-04-12
"20","12-04-2024_05:07:45",6.47,2024-04-12
"21","12-04-2024_09:07:45",6.47,2024-04-12
"22","12-04-2024_13:07:45",6.38,2024-04-12
"23","12-04-2024_17:07:45",6.47,2024-04-12
"24","12-04-2024_21:07:45",6.38,2024-04-12
"25","13-04-2024_01:07:45",6.38,2024-04-13
"26","13-04-2024_05:07:45",6.47,2024-04-13
"27","13-04-2024_09:07:45",6.47,2024-04-13
"28","13-04-2024_13:07:45",6.38,2024-04-13
"29","13-04-2024_17:07:45",6.47,2024-04-13
"30","13-04-2024_21:07:45",6.47,2024-04-13
"31","14-04-2024_01:07:45",6.38,2024-04-14
"32","14-04-2024_05:07:45",6.38,2024-04-14
"33","14-04-2024_09:07:45",6.38,2024-04-14
"34","14-04-2024_13:07:45",6.38,2024-04-14
"35","14-04-2024_17:07:45",6.38,2024-04-14
"36","14-04-2024_21:07:45",6.38,2024-04-14
"37","15-04-2024_01:07:46",6.38,2024-04-15
"38","15-04-2024_05:07:46",6.38,2024-04-15
"39","15-04-2024_09:07:46",6.38,2024-04-15
"40","15-04-2024_13:07:46",6.38,2024-04-15
"41","15-04-2024_17:07:46",6.47,2024-04-15
"42","15-04-2024_21:07:46",6.38,2024-04-15
"43","16-04-2024_01:07:46",6.47,2024-04-16
"44","16-04-2024_05:07:46",6.47,2024-04-16
"45","16-04-2024_09:07:46",6.47,2024-04-16
"46","16-04-2024_13:07:46",6.38,2024-04-16
"47","16-04-2024_17:07:46",6.47,2024-04-16
"48","16-04-2024_21:07:46",6.47,2024-04-16
"49","17-04-2024_01:07:46",6.56,2024-04-17
"50","17-04-2024_05:07:46",6.38,2024-04-17
"51","17-04-2024_09:07:46",6.47,2024-04-17
"52","17-04-2024_13:07:46",6.64,2024-04-17
