,UTC,Latitude,Longitude,platform,OL_31.5,OL_63,OL_125,OL_250,OL_500,OL_1000,OL_2000,OL_4000,OL_8000,OL_16000
12368,12/27/2023 7:00,-74.82,38.71,NEFSC_DE_202311_DB01,83.79325002,79.40851509,82.44578638,83.63129703,89.68447245,95.31027603,92.33485439,85.44153461,83.70967215,82.62024759
12369,12/27/2023 8:00,-74.82,38.71,NEFSC_DE_202311_DB01,92.45102189,84.9231881,92.4858014,95.35658686,97.3217036,100.791116,98.22034949,92.1701704,87.44177482,84.27887721
12370,12/27/2023 9:00,-74.82,38.71,NEFSC_DE_202311_DB01,97.40576768,89.30410757,103.9124297,105.7296754,104.7177172,104.7048963,101.6194262,93.17709171,88.25098264,84.89438672
12371,12/27/2023 10:00,-74.82,38.71,NEFSC_DE_202311_DB01,102.505482,92.26611825,90.923882,92.4438193,94.32685057,97.8173765,94.03835663,87.22326496,85.72578867,84.29622446
12372,12/27/2023 11:00,-74.82,38.71,NEFSC_DE_202311_DB01,100.3706045,90.24006619,93.79233723,91.86637659,93.13706731,94.73570501,91.46580156,86.56581633,85.14875472,83.64639881
12373,12/27/2023 12:00,-74.82,38.71,NEFSC_DE_202311_DB01,93.68849858,85.84726644,96.55368439,96.35862003,94.82143135,94.26856285,91.03527669,86.85929557,84.88614079,83.04310703
12374,12/27/2023 13:00,-74.82,38.71,NEFSC_DE_202311_DB01,86.87647115,82.65800596,96.97165318,97.13747869,95.72601106,95.16479383,89.5861326,84.75744805,83.30479068,90.38880444
12375,12/27/2023 14:00,-74.82,38.71,NEFSC_DE_202311_DB01,85.8175969,82.29137852,88.21257922,89.86227789,88.64875863,90.3337546,85.61554047,82.1609968,82.32691924,91.79643281
12376,12/27/2023 15:00,-74.82,38.71,NEFSC_DE_202311_DB01,96.2860982,92.46127738,94.70815128,95.69347203,96.77729868,98.52142175,96.22230539,92.84767305,91.88279618,95.12023818
12377,12/27/2023 16:00,-74.82,38.71,NEFSC_DE_202311_DB01,101.8513641,92.21693216,89.38107961,91.50575741,94.07505022,95.47772288,94.33308327,92.0425747,91.43572124,93.62710417
12378,12/27/2023 17:00,-74.82,38.71,NEFSC_DE_202311_DB01,102.4679481,93.14786949,96.23573766,90.66376648,91.48313558,94.26998224,91.29086522,86.69124225,86.13536881,88.15219517
12379,12/27/2023 18:00,-74.82,38.71,NEFSC_DE_202311_DB01,97.26866465,87.81085882,87.51582806,88.58758528,91.49674825,93.83824963,92.77399028,89.80541519,88.43332725,87.99611932
12380,12/27/2023 19:00,-74.82,38.71,NEFSC_DE_202311_DB01,89.78436308,82.58573959,84.59862402,88.28462811,91.22093795,93.72425975,92.15717777,89.59294001,88.72774014,86.65915348
12381,12/27/2023 20:00,-74.82,38.71,NEFSC_DE_202311_DB01,86.826759,82.0654835,91.88191582,93.01278899,95.26174928,94.78905347,92.39055123,89.429058,88.92711227,86.96196677
12382,12/27/2023 21:00,-74.82,38.71,NEFSC_DE_202311_DB01,95.08789882,86.05332785,86.39473942,89.49040658,92.01111964,93.66367179,92.09230394,89.51064138,89.11903415,87.06803544
12383,12/27/2023 22:00,-74.82,38.71,NEFSC_DE_202311_DB01,99.63921521,99.80840611,99.46831445,97.37083244,97.88316405,97.57001448,93.83349057,89.29278063,88.20141501,86.22735949
12384,12/27/2023 23:00,-74.82,38.71,NEFSC_DE_202311_DB01,101.4335144,92.78941128,88.92581658,90.63117374,93.432044,96.17616524,93.4852926,90.49918679,90.02970654,87.90884996
