"","UTC","Latitude","Longitude","platform","OL_31.5","OL_63","OL_125","OL_250","OL_500","OL_1000","OL_2000","OL_4000","OL_8000","OL_16000"
"31",2022-07-08 06:00:00,-74.47,38.48,"NEFSC_DE_202207_DB02",87.1765980378088,93.014571959997,90.1927972914747,97.1426995394144,99.3832860388294,97.1704413090491,93.6344095247269,89.8532526538261,88.2434531120312,85.4767442058238
"32",2022-07-08 07:00:00,-74.47,38.48,"NEFSC_DE_202207_DB02",89.3221881653851,87.7587831575529,90.7498364086792,97.6234644456426,99.5177048393968,97.431805201708,94.1884393101909,90.866260035983,89.5650582357937,86.5975426221439
"33",2022-07-08 08:00:00,-74.47,38.48,"NEFSC_DE_202207_DB02",91.9667515095756,95.0760784785426,95.3276859878806,98.8257679363439,99.8851936231649,98.0621557920335,95.1158089597113,92.2609133963024,90.6282230605797,87.213563641728
"34",2022-07-08 09:00:00,-74.47,38.48,"NEFSC_DE_202207_DB02",100.053101810039,109.482749970139,107.667725932852,93.9929667334757,90.6613202456353,92.2894480996056,91.4640432505731,90.477063930092,90.1382127828924,87.0716196679499
"35",2022-07-08 10:00:00,-74.47,38.48,"NEFSC_DE_202207_DB02",90.3131500969236,92.9207453897251,95.4406168976836,95.3840608974595,90.6027064831768,92.3394420807517,91.8718332216314,91.823123159889,90.4878482795088,87.2526058153746
"36",2022-07-08 11:00:00,-74.47,38.48,"NEFSC_DE_202207_DB02",90.4279530531306,91.9795408223915,92.9330993072269,89.7245527875351,87.2682793876969,88.7033462298422,87.7177571691433,86.8434576895173,86.9569002207342,84.5337576714265
"37",2022-07-08 12:00:00,-74.47,38.48,"NEFSC_DE_202207_DB02",96.7913109553657,97.2585377591965,98.4464852445865,92.1421259977229,88.294689318204,89.3397240622475,88.3166880972057,87.3643844762209,87.4059379241571,84.9032346148247
"38",2022-07-08 13:00:00,-74.47,38.48,"NEFSC_DE_202207_DB02",87.9007851982279,93.1733260536193,92.0864690908122,87.960355678251,86.7320539854341,88.3783941261714,87.5048264724582,86.6555821150826,86.5783813346863,84.2383507701311
"39",2022-07-08 14:00:00,-74.47,38.48,"NEFSC_DE_202207_DB02",86.1907426828376,91.2987701435296,90.3902900746945,88.1594683679281,86.4824840125271,88.0881500155513,87.4431297915174,86.9180500764113,86.4424920461696,83.8657403096889
"40",2022-07-08 15:00:00,-74.47,38.48,"NEFSC_DE_202207_DB02",90.3646678033906,92.9472766413069,87.2951347633615,85.2319995021931,85.2900120179346,86.8294192247025,85.7619361600903,84.8139273671026,85.0464182969263,83.1066054004637
"41",2022-07-08 16:00:00,-74.47,38.48,"NEFSC_DE_202207_DB02",95.8990089954251,98.3348246373524,90.6363689258902,86.4769153304139,83.0913987116871,82.3047498712299,81.3088879412001,80.6897997717037,81.1218590502207,80.500966623495
"42",2022-07-08 17:00:00,-74.47,38.48,"NEFSC_DE_202207_DB02",103.702426150319,102.769431884898,95.7793255771585,92.2780234951217,84.7308435678762,82.1133779540714,81.3421047113554,80.9207930804342,79.7595992193393,79.2199478421493
